image_url;species_guess;scientific_name;common_name;iconic_taxon_name;taxon_order_name;taxon_family_name;taxon_genus_name;taxon_species_name
https://static.inaturalist.org/photos/121/medium.jpg?1444252835;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/24767/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/26391/medium.JPG;Latrodectus hesperus;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/34645/medium.jpg;Widow Spiders;Latrodectus;Widow Spiders;Arachnida;Araneae;Theridiidae;Latrodectus;
https://static.inaturalist.org/photos/41033/medium.JPG;Western black widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/42247/medium.jpg;brown widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/42248/medium.jpg;brown widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/52879/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/53815/medium.jpg?1444402590;Brown Widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/144309/medium.JPG;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/56704/medium.JPG;Western black widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/57872/medium.JPG;Southern Black Widow;Latrodectus mactans;Southern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus mactans
https://static.inaturalist.org/photos/61008/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/69032/medium.jpg?1444440074;Western black widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/81602/medium.jpg?1444458204;Widow Spiders;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/108332/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/108806/medium.jpg?1444486167;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/111927/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/120304/medium.JPG;Western black widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/148292/medium.jpg;brown widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/149038/medium.jpg?1444543242;brown widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/155294/medium.JPG;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/158685/medium.jpg;Northern Black Widow;Latrodectus variolus;Northern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus variolus
https://static.inaturalist.org/photos/159682/medium.JPG;Latrodectus hesperus;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/159685/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/162822/medium.jpg?1444556858;Southern Black Widow;Latrodectus mactans;Southern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus mactans
https://static.inaturalist.org/photos/163695/medium.jpg;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/166981/medium.jpg;Northern Black Widow;Latrodectus variolus;Northern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus variolus
https://static.inaturalist.org/photos/167607/medium.jpg?1444562442;Redback Spider;Latrodectus hasselti;Redback Spider;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hasselti
https://static.inaturalist.org/photos/168073/medium.jpg;Western Black Widow (Latrodectus hesperus);Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/173608/medium.jpg;Western black widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/173618/medium.jpg;Brown Widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/174223/medium.jpg?1444582483;Latrodectus tredecimguttatus;Latrodectus tredecimguttatus;European Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus tredecimguttatus
https://static.inaturalist.org/photos/178046/medium.jpg?1444580531;Northern Black Widow;Latrodectus variolus;Northern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus variolus
https://static.inaturalist.org/photos/180851/medium.jpg?1348870775;southern black widow;Latrodectus mactans;Southern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus mactans
https://static.inaturalist.org/photos/180955/medium.jpg?1348888971;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/182970/medium.JPG?1349222985;brown widow;Latrodectus geometricus;Brown Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus geometricus
https://static.inaturalist.org/photos/187016/medium.jpg?1444592347;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/187886/medium.jpg?1350134961;Southern Black Widow;Latrodectus mactans;Southern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus mactans
https://static.inaturalist.org/photos/188062/medium.jpg?1444593802;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/189907/medium.JPG?1444792178;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/189999/medium.JPG?1350497422;Northern Black Widow;Latrodectus variolus;Northern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus variolus
https://static.inaturalist.org/photos/196038/medium.jpg?1351652165;southern black widow;Latrodectus mactans;Southern Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus mactans
https://static.inaturalist.org/photos/197784/medium.jpg?1351890449;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
https://static.inaturalist.org/photos/202781/medium.jpg?1444451466;Western Black Widow;Latrodectus hesperus;Western Black Widow;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus
